Sweet and sour pork stir-fry: Add the pork and stir to coat.	Sweet and sour pork stir-fry: Add the chicken breast and stir to coat.	Sweet and sour pork stir-fry: Add the brown rice syrup and stir to coat.
Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml milk to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml a suitable milk alternative for a vegan recipe to the pan and bring to the boil.	Spiced carrot & lentil soup (238): Add 2 tbsp olive oil 600g coarsely grated carrots 140g split red lentils 1l hot vegetable stock and 125ml rambutan to the pan and bring to the boil.
Creamy Coconut-Lime Salmon: Season the salmon with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the tofu (it would soak up all those juices and taste amazing) with ½ teaspoon salt.	Creamy Coconut-Lime Salmon: Season the tamarillo with ½ teaspoon salt.
Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the ghee over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the any oil over medium high heat.	Chana Dhal - Yellow Split Lentils - A Popular Curry House Side Dish: Meanwhile in a separate pan melt the pomelo over medium high heat.
Pumpkin risotto: Once the rice is soft enough to eat gently stir in the grated cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the emmental cheese chopped coriander and roasted pumpkin.	Pumpkin risotto: Once the rice is soft enough to eat gently stir in the chilki urad dahl cheese chopped coriander and roasted pumpkin.
Easy carrot cake: Whisk the oil yogurt eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil creme freche  eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil jaggery eggs vanilla and zest in a jug.
Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the beef mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the pork mince and a pinch of salt and pepper.	Easy spaghetti bolognese: Add a tablespoon of olive oil and once hot add the mache and a pinch of salt and pepper.
The Best Turkey Chili Ever!: Add the ground turkey and cook breaking it apart with a wooden spoon until browned about 8 minutes.	The Best Turkey Chili Ever!: Add the kidney beans and cook breaking it apart with a wooden spoon until browned about 8 minutes.	The Best Turkey Chili Ever!: Add the cod and cook breaking it apart with a wooden spoon until browned about 8 minutes.
Mushroom Biryani: For the rice	Mushroom Biryani: For the long grain rice	Mushroom Biryani: For the wheatgerm oil
Lasagne: Tip in the beef and pork mince the milk and chopped tomatoes.	Lasagne: Tip in the beef and pork veggie mince the milk and chopped tomatoes.	Lasagne: Tip in the beef and pork pomfret the milk and chopped tomatoes.
Miso burgers with mint & pomegranate slaw: Tip the chickpeas into a bowl and crush with a masher or fork then add the eggs and miso to form a chunky paste.	Miso burgers with mint & pomegranate slaw: Tip the other kinds of beans.  into a bowl and crush with a masher or fork then add the eggs and miso to form a chunky paste.	Miso burgers with mint & pomegranate slaw: Tip the cranberries into a bowl and crush with a masher or fork then add the eggs and miso to form a chunky paste.
Vegetarian tacos: For the beans heat a frying pan over a medium heat.	Vegetarian tacos: For the kidney beans heat a frying pan over a medium heat.	Vegetarian tacos: For the truffle oil heat a frying pan over a medium heat.
Mushroom risotto: Tip 300g risotto rice into the pan and cook for 1 min.	Mushroom risotto: Tip 300g pearl barley into the pan and cook for 1 min.	Mushroom risotto: Tip 300g red snapper into the pan and cook for 1 min.
Meatball & tomato soup: Season to taste then add the meatballs and spinach.	Meatball & tomato soup: Season to taste then add the firm tofu and spinach.	Meatball & tomato soup: Season to taste then add the grana padano and spinach.
Homemade Vegetarian Chili: Add the diced tomatoes and their juices the drained black beans and pinto beans vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the tomato puree     and their juices the drained black beans and pinto beans vegetable broth and bay leaf.	Homemade Vegetarian Chili: Add the drinking chocolate and their juices the drained black beans and pinto beans vegetable broth and bay leaf.
Easy beef burritos: Season stir and simmer everything for 20 mins until the beef is in a thick gravy.	Easy beef burritos: Season stir and simmer everything for 20 mins until the quorn mince is in a thick gravy.	Easy beef burritos: Season stir and simmer everything for 20 mins until the palm sugar is in a thick gravy.
Jerk Cod with Avocado and Corn Salsa: Gently break the cod into chunks and serve with the salsa and lime wedges.	Jerk Cod with Avocado and Corn Salsa: Gently break the basa fillets into chunks and serve with the salsa and lime wedges.	Jerk Cod with Avocado and Corn Salsa: Gently break the shrimp into chunks and serve with the salsa and lime wedges.
Basic omelette: Season the beaten eggs well with salt and pepper.	Basic omelette: Season the beaten chickpea (gram) flour well with salt and pepper.	Basic omelette: Season the beaten club soda well with salt and pepper.
Super shepherd's pie: Put the ground lamb into a cold casserole pan.	Super shepherd's pie: Put the ground would consider quorn mince which is not lamb into a cold casserole pan.	Super shepherd's pie: Put the ground whitecurrant into a cold casserole pan.
Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the tofu and fry for 4-5 minutes until it turns slightly golden in colour.	Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the quorn chicken and fry for 4-5 minutes until it turns slightly golden in colour.	Kale tofu mushroom and quinoa protein bowl: Heat the vegetable oil in a large non-stick frying pan add the pancetta and fry for 4-5 minutes until it turns slightly golden in colour.
Easy carrot cake: Whisk the oil yogurt eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil creme freche  eggs vanilla and zest in a jug.	Easy carrot cake: Whisk the oil corn oil eggs vanilla and zest in a jug.
Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with salmon ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with seabass ginger-scallion vinaigrette and sesame oil.	Roasted Salmon With Miso Rice and Ginger-Scallion Vinaigrette: Top with sugar snap peas ginger-scallion vinaigrette and sesame oil.
Crispy Sesame Chicken with a Sticky Asian Sauce: Add the chicken back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the broccoli back in and toss in the sauce to coat.	Crispy Sesame Chicken with a Sticky Asian Sauce: Add the cardamon back in and toss in the sauce to coat.
Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the pork loin and the Pinkelwurst and cook over low heat for 30 minutes.	Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the firm smoked tofu and the Pinkelwurst and cook over low heat for 30 minutes.	Grünkohleintopf – Kale Stew with Smoked Meat and Sausages: Add the swordfish and the Pinkelwurst and cook over low heat for 30 minutes.
Ultimate spaghetti carbonara: Keep the heat under the pancetta on low.	Ultimate spaghetti carbonara: Keep the heat under the  ham on low.	Ultimate spaghetti carbonara: Keep the heat under the wheatgerm on low.
Mozzarella Chicken with Creamy Tomato Sauce: Transfer chicken breasts back to the skillet.	Mozzarella Chicken with Creamy Tomato Sauce: Transfer turkey breasts back to the skillet.	Mozzarella Chicken with Creamy Tomato Sauce: Transfer durian back to the skillet.
Nürnberger bratwursts with sauerkraut and mashed potatoes: small bratwursts	Nürnberger bratwursts with sauerkraut and mashed potatoes: small  frankfurter	Nürnberger bratwursts with sauerkraut and mashed potatoes: small allspice
Lagman (Uzbek Noodle Soup): Stir in beef strips cumin and black pepper; cook until beef is browned about 5 minutes.	Lagman (Uzbek Noodle Soup): Stir in chicken breast strips cumin and black pepper; cook until chicken breast is browned about 5 minutes.	Lagman (Uzbek Noodle Soup): Stir in saffron strips cumin and black pepper; cook until saffron is browned about 5 minutes.
Oven Baked Chicken and Rice: Then pour chicken broth and water around the chicken.	Oven Baked Chicken and Rice: Then pour  pork chop broth and water around the  pork chop.	Oven Baked Chicken and Rice: Then pour salsify broth and water around the salsify.
Lasagne: Tip in the beef and pork mince the milk and chopped tomatoes.	Lasagne: Tip in the beef and pork any other mince meat the milk and chopped tomatoes.	Lasagne: Tip in the beef and pork raddiccio the milk and chopped tomatoes.
Indian Red Lentil Dal: Once the lentils are cooked drain off any excess water that is on top of the lentils but do not drain off all the water.	Indian Red Lentil Dal: Once the kidney beans are cooked drain off any excess water that is on top of the kidney beans but do not drain off all the water.	Indian Red Lentil Dal: Once the soya milk are cooked drain off any excess water that is on top of the soya milk but do not drain off all the water.
The Best Vegan Lentil Shepherd's Pie: Add the tahini tamari balsamic vinegar and vegan Worcestershire sauce (if using).	The Best Vegan Lentil Shepherd's Pie: Add the tahini tamari balsamic vinegar and butter Worcestershire sauce (if using).	The Best Vegan Lentil Shepherd's Pie: Add the tahini tamari balsamic vinegar and quark Worcestershire sauce (if using).
Butternut squash soup: While the butternut squash cooks melt the butter with the remaining 1 tbsp olive oil in a large saucepan then add the onions garlic clove and three-quarters of the chillies.	Butternut squash soup: While the low fat spread such as clover or bertollinut squash cooks melt the low fat spread such as clover or bertolli with the remaining 1 tbsp olive oil in a large saucepan then add the onions garlic clove and three-quarters of the chillies.	Butternut squash soup: While the butter beannut squash cooks melt the butter bean with the remaining 1 tbsp olive oil in a large saucepan then add the onions garlic clove and three-quarters of the chillies.
Courgette fritters: Combine the grated courgette flour egg and parmesan in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and cheedar in a large bowl.	Courgette fritters: Combine the grated courgette flour egg and turmeric in a large bowl.
Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and cooked pearl barley through.	Healthy chicken katsu curry: Bake for 20 mins in the oven or 18-20 mins in the air-fryer until browned and parmesan through.
